0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
151,조병욱,20K,0,9,0,0,4,0,1,0,0,28.1,24,24,131,39,4,0,4,13,0,1,11,0,0,7.62,6.1,1.84,63,77.8,0,-0.51
152,김강률,20두,0,30,0,0,0,2,2,0,0,28,22,11,141,36,6,2,1,20,0,4,28,0,0,3.54,4.59,2,131,102.1,0,-0.3
153,여건욱,20L,0,25,0,0,0,1,3,1,2,27.2,24,22,124,36,8,1,8,4,0,3,18,0,2,7.16,6.77,1.45,64.7,66.3,0,-0.94
154,장지훈,20삼,0,29,0,0,0,0,1,0,0,27.2,37,31,146,39,4,0,7,21,0,3,24,0,5,10.08,7.71,2.17,48.6,63.9,0,-1.11
155,윤정현,20키,0,15,0,0,4,0,1,0,0,27.1,32,27,146,54,6,1,3,10,0,2,11,0,1,8.89,5.49,2.34,53.1,84.9,0,-1.07
156,이용찬,20두,0,5,0,0,5,1,3,0,0,26.2,25,25,125,41,8,0,7,6,0,0,15,0,1,8.44,6.52,1.76,54.9,69.2,0,-0.74
157,이승민,20삼,0,7,0,0,5,1,3,0,0,26.1,21,20,128,34,5,0,5,19,1,0,16,0,0,6.84,6.86,2.01,71.8,71.6,0,-0.69
158,박종기,20두,0,8,0,0,5,1,2,0,0,26,16,16,117,30,6,0,3,14,0,0,20,0,1,5.54,5.13,1.69,83.6,89.9,0,0.11
159,홍성민,20N,0,30,0,0,0,1,0,0,8,26,4,3,104,20,4,0,2,6,1,2,14,0,2,1.04,4.29,1,470.5,112.6,0,1.38
160,이형범,20두,0,27,0,0,0,1,2,1,1,25.2,22,22,122,30,6,0,5,16,2,2,13,0,1,7.71,6.95,1.79,60.1,65.9,0,-2.18
