0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
254,나지완,21KLF,-0.24,31,102,81,3,13,1,0,0,14,7,0,0,14,6,0,29,3,0,1,0.16,0.324,0.173,0.496,0.272,53.2,-0.24,-0.12
255,신준우,21키SS,-0.25,56,51,42,7,7,3,0,0,10,4,0,1,4,3,0,21,1,1,1,0.167,0.28,0.238,0.518,0.256,42.9,-0.25,-0.2
256,김현민,21한DH,-0.26,5,12,12,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.083,0.083,0.083,0.167,0.08,-72.6,-0.26,-0.15
257,이성열,21한DH,-0.27,46,140,119,15,25,8,0,2,39,20,1,0,18,1,0,36,2,0,2,0.21,0.314,0.328,0.642,0.308,79,-0.27,0.32
258,김도환,21삼C,-0.28,25,46,41,1,6,2,0,0,8,1,0,1,2,2,0,20,0,1,0,0.146,0.222,0.195,0.417,0.206,11.9,-0.28,-0.32
259,구본혁,21LSS,-0.28,123,45,38,10,5,2,0,0,7,3,0,0,3,1,0,7,0,1,2,0.132,0.205,0.184,0.389,0.189,0.9,-0.28,-0.19
260,김동엽,21삼LF,-0.28,69,203,185,20,44,9,0,4,65,24,2,1,10,4,0,42,2,0,4,0.238,0.286,0.351,0.637,0.297,70.2,-0.28,-0.53
261,김규성,21KSS,-0.28,54,41,36,8,5,1,0,0,6,2,0,1,5,0,0,17,0,0,0,0.139,0.244,0.167,0.411,0.216,15.5,-0.28,-0.5
262,오선우,21KLF,-0.29,9,16,15,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0.067,0.125,0.067,0.192,0.106,-57,-0.29,-0.32
263,장운호,21한RF,-0.3,102,338,285,36,67,10,0,0,77,28,3,6,36,7,0,77,7,7,3,0.235,0.332,0.27,0.603,0.295,71,-0.3,-1.65
264,장지승,21한RF,-0.3,24,72,61,7,11,1,0,1,15,5,2,0,7,1,0,24,4,2,1,0.18,0.271,0.246,0.517,0.249,40.1,-0.3,-0.7
265,홍현빈,21KLF,-0.32,43,12,11,8,2,0,0,0,2,0,0,1,0,0,0,8,0,1,0,0.182,0.182,0.182,0.364,0.16,-24,-0.32,0.13
266,백용환,21K한C,-0.34,39,102,86,10,12,1,0,4,25,4,0,0,11,3,0,26,4,2,0,0.14,0.26,0.291,0.551,0.262,47.7,-0.34,0.42
267,이우성,21KLF,-0.35,65,100,85,12,17,5,0,0,22,4,2,1,13,0,0,17,2,1,1,0.2,0.303,0.259,0.562,0.277,56.7,-0.35,-0.38
